2011-09-24 08:37:52 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 08:42:17 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 6]
2011-09-24 08:42:17 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 11]
2011-09-24 08:42:17 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 19]
2011-09-24 08:42:17 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 20]
2011-09-24 08:42:38 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 6]
2011-09-24 08:42:38 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 11]
2011-09-24 08:42:38 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 19]
2011-09-24 08:42:38 Debug: Notice (8): Undefined variable: station in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 20]
2011-09-24 08:46:03 Debug: Notice (8): Use of undefined constant கொடு - assumed 'கொடு' in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 19]
2011-09-24 08:46:03 Debug: Notice (8): Use of undefined constant நீக்கு - assumed 'நீக்கு' in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 20]
2011-09-24 08:46:03 Debug: Notice (8): Use of undefined constant பட்டியல் - assumed 'பட்டியல்' in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 21]
2011-09-24 08:46:03 Debug: Notice (8): Use of undefined constant புதிய - assumed 'புதிய' in [C:\xampp\htdocs\dbMiniProject\views\stations\view_ta.ctp, line 22]
2011-09-24 09:00:25 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:00:25 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:00:25 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:00:25 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
